species_binom,Unique_ID,dataset_id,family,genus,woodiness,reclass_life_history,putative_BNF,myc_type,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG
Digitaria_ammophila,6450,Schmidt_2010,Poaceae,Digitaria,herbaceous,long,0,AM,-23.87,146.12,14.032,1.182542846,409.212,11.86595483,29.16277081,346.0441213,-23.87146.12
Digitaria_ammophila,6452,Schmidt_2010,Poaceae,Digitaria,herbaceous,long,0,AM,-23.87,146.12,11.661,0.855154028,409.917,13.63613994,35.15281708,479.348733,-23.87146.12
Digitaria_ammophila,6417,Schmidt_2010,Poaceae,Digitaria,herbaceous,long,0,AM,-23.51,146.52,11.682,0.950839329,415.826,12.28598739,35.59544599,437.3252005,-23.51146.52
Digitaria_ammophila,6415,Schmidt_2010,Poaceae,Digitaria,herbaceous,long,0,AM,-23.51,146.52,7.843,0.609057121,413.614,12.87728152,52.73670789,679.1054338,-23.51146.52
Themeda_triandra,6456,Schmidt_2010,Poaceae,Themeda,herbaceous,long,0,AM,-23.87,146.12,9.912,1.056173085,412.881,9.384825405,41.65466102,390.9217209,-23.87146.12
Themeda_triandra,6425,Schmidt_2010,Poaceae,Themeda,herbaceous,long,0,AM,-23.51,146.52,9.422,0.946349334,408.86,9.956154305,43.39418383,432.0391901,-23.51146.52
Themeda_triandra,6424,Schmidt_2010,Poaceae,Themeda,herbaceous,long,0,AM,-23.51,146.52,6.168,0.624287885,403.875,9.880057187,65.4790856,646.9371103,-23.51146.52
Pararchidendron_pruinosum,1752,Kanowski_2000,Fabaceae,Pararchidendron,herbaceous,long,1,AM,-17.26548,145.56578,38.77,1.647381,NA,23.53432509,NA,NA,-17.26548145.56578
Sloanea_australis,1100,Kanowski_2000,Elaeocarpaceae,Sloanea,herbaceous,long,0,AM,-17.54112,145.56136,13.68,1.302655,NA,10.50162936,NA,NA,-17.54112145.56136
Sloanea_australis,1101,Kanowski_2000,Elaeocarpaceae,Sloanea,herbaceous,long,0,AM,-17.58672,145.582,13.06,1.616353,NA,8.079918186,NA,NA,-17.58672145.582
