lat,lon,latlong_unique,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,ETa,NPP,MAT_C,PPT_mm
-30.098,115.058,-30.098115.058,0.065,0.015,1.361,7.632,7.150,1.367,4726.842,20.324,439.890
-30.1912,115.059,-30.1912115.0593,0.065,0.017,1.570,7.565,6.493,1.367,4726.842,20.136,450.938
-30.2766,115.062,-30.2766115.0618,0.064,0.022,1.705,7.136,8.643,1.367,4726.842,19.639,460.557
-30.1432,115.062,-30.1432115.0621,0.067,0.015,1.448,7.497,7.480,1.367,4726.842,20.233,448.762
-30.1921,115.063,-30.1921115.063,0.068,0.016,1.492,8.015,6.657,1.367,4726.842,20.136,450.938
-30.2137,115.064,-30.2137115.0639,0.066,0.018,1.494,8.161,5.986,1.367,4726.842,19.844,454.919
-30.2406,115.064,-30.2406115.0643,0.071,0.020,1.475,7.575,5.657,1.367,4726.842,19.844,454.919
-30.2257,115.065,-30.2257115.0649,0.054,0.019,1.382,7.263,7.986,1.367,4726.842,19.844,454.919
-30.3157,115.067,-30.3157115.0666,0.078,0.019,1.448,7.596,5.493,1.367,4726.842,19.629,469.767
-30.2406,115.067,-30.2406115.0669,0.062,0.020,1.439,6.638,6.986,1.367,4726.842,19.844,454.919
-30.2287,115.069,-30.2287115.0685,0.074,0.019,1.610,7.530,5.657,1.367,4726.842,19.844,454.919
-30.2404,115.069,-30.2404115.0693,0.063,0.019,1.415,8.183,7.493,1.367,4726.842,19.844,454.919
-30.2353,115.071,-30.2353115.0707,0.064,0.018,1.521,6.695,5.986,1.367,4726.842,19.844,454.919
-30.2709,115.071,-30.2709115.0708,0.073,0.020,1.589,6.815,5.657,1.367,4726.842,19.639,460.557
-30.1979,115.074,-30.1979115.0739,0.077,0.016,1.633,6.529,6.493,1.367,4726.842,20.136,450.938
-30.1915,115.074,-30.1915115.0743,0.062,0.014,1.454,7.339,5.986,1.367,4726.842,20.136,450.938
-30.4071,115.082,-30.4071115.0819,0.048,0.018,0.883,11.439,6.493,1.367,4726.842,19.310,479.467
-33.9164,115.083,-33.9164115.0833,0.150,0.021,2.388,8.286,9.507,1.838,10562.421,16.976,925.581
-30.4058,115.095,-30.4058115.0948,0.054,0.018,0.985,8.461,6.657,1.367,4726.842,19.490,484.657
-30.1682,115.106,-30.1682115.1057,0.055,0.014,1.328,6.700,4.000,1.367,4726.842,19.948,456.314
-30.1267,115.106,-30.1267115.1063,0.060,0.015,1.336,6.402,3.657,1.367,4726.842,20.086,453.657
-30.1296,115.108,-30.1296115.1075,0.071,0.016,1.510,6.905,4.000,1.367,4726.842,20.086,453.657
-30.1714,115.109,-30.1714115.1091,0.057,0.014,1.298,6.341,5.000,1.367,4726.842,19.948,456.314
-30.1867,115.109,-30.1867115.1091,0.070,0.014,1.333,7.235,4.493,1.367,4726.842,19.948,456.314
-30.16,115.121,-30.16115.1206,0.066,0.015,1.361,6.173,3.493,1.367,4726.842,20.086,453.657
-30.1643,115.123,-30.1643115.1226,0.060,0.015,1.277,6.759,3.493,1.367,4726.842,20.086,453.657
-23.9572,115.127,-23.9572115.1267,0.036,0.030,0.640,10.615,7.136,0.715,540.737,25.349,216.071
-30.1809,115.129,-30.1809115.1288,0.067,0.015,1.374,6.659,3.493,1.367,4726.842,19.751,467.824
-24.4997,115.141,-24.4997115.1406,0.030,0.022,0.546,8.395,6.136,0.618,677.684,23.969,245.533
