Unique_ID,dataset_id,family,genus,woodiness,reclass_life_history,putative_BNF,myc_type,species_binom,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG
22,Smith_1996,Amaranthaceae,Amaranthus,herbaceous,short,0,NM-AM,Amaranthus viridis,-41.3333333,147.75,4.432,2.095,NA,2.115513126,NA,NA,-41.3333333147.75
23,Smith_1996,Amaranthaceae,Amaranthus,herbaceous,short,0,NM-AM,Amaranthus viridis,-42.9166667,146.4333333,4.432,2.095,NA,2.115513126,NA,NA,-42.9166667146.4333333
6334,Firn_2019,Poaceae,Avena,herbaceous,short,0,AM,Avena barbata,-36.2,143.75,35.20821303,1.53770171,472.6279849,22.89664686,13.42379929,307.3599918,-36.2143.75
6339,Firn_2019,Poaceae,Avena,herbaceous,short,0,AM,Avena barbata,-36.2,143.75,31.80220603,2.11923929,466.6892258,15.00642527,14.6747438,220.2154462,-36.2143.75
435,Firn_2019,Asteraceae,Waitzia,herbaceous,short,0,EcM-AM,Waitzia acuminata,-31.7821,117.6108,42.73435282,0.84372621,442.3917587,50.64954995,10.35213428,524.3309423,-31.7821117.6108
431,Firn_2019,Asteraceae,Waitzia,herbaceous,short,0,EcM-AM,Waitzia acuminata,-31.7821,117.6108,38.86622727,1.08735097,431.42437,35.74395788,11.10023793,396.7664369,-31.7821117.6108
438,Firn_2019,Asteraceae,Waitzia,herbaceous,short,0,EcM-AM,Waitzia acuminata,-31.7821,117.6108,28.04169773,0.68201926,480.159877,41.11569772,17.12306728,704.0268584,-31.7821117.6108
562,Schmidt_2003,Boraginaceae,Coldenia,herbaceous,short,0,NM-AM,Coldenia procumbens,-12.65,132.9166667,49,NA,407.45,NA,8.315306122,NA,-12.65132.9166667
1962,Schmidt_2003,Fabaceae,Tephrosia,herbaceous,short,1,AM,Tephrosia remotiflora,-12.65,132.9166667,25,NA,467.4,NA,18.696,NA,-12.65132.9166667
5,Schmidt_2003,Aizoaceae,Trianthema,herbaceous,short,0,NM-AM,Trianthema portulacastrum,-12.65,132.9166667,26,NA,405.3,NA,15.58846154,NA,-12.65132.9166667
967,Schmidt_2003,Cyperaceae,Cyperus,herbaceous,short,0,NM-AM,Cyperus aquatilis,-12.65,132.9166667,25,NA,439.1,NA,17.564,NA,-12.65132.9166667
6336,Firn_2019,Poaceae,Avena,herbaceous,short,0,AM,Avena barbata,-36.2,143.75,23.43788046,5.41037995,424.5052107,4.332021166,18.11192831,78.46125681,-36.2143.75
6347,Firn_2019,Poaceae,Vulpia,herbaceous,short,0,AM,Vulpia myuros,-31.7821,117.6108,12.16239179,NA,447.306134,NA,36.77780997,NA,-31.7821117.6108
420,Firn_2019,Asteraceae,Pycnosorus,herbaceous,short,0,AM,Pycnosorus chrysanthus,-27.7348,151.1395,23.02012774,1.31108841,470.434989,17.55802855,20.4358114,358.8125602,-27.7348151.1395
434,Firn_2019,Asteraceae,Waitzia,herbaceous,short,0,EcM-AM,Waitzia acuminata,-31.7821,117.6108,36.49189439,0.72604923,491.7727469,50.26090915,13.47621863,677.3270001,-31.7821117.6108
432,Firn_2019,Asteraceae,Waitzia,herbaceous,short,0,EcM-AM,Waitzia acuminata,-31.7821,117.6108,32.18630461,0.77402473,463.7078938,41.58304427,14.40699389,599.0866646,-31.7821117.6108
441,Firn_2019,Asteraceae,Waitzia,herbaceous,short,0,EcM-AM,Waitzia acuminata,-31.7821,117.6108,30.23047107,0.68481028,489.2885243,44.14430091,16.18527621,714.4877035,-31.7821117.6108
6351,Funk_2016,Poaceae,Briza,herbaceous,short,0,AM,Briza maxima,-32.04667,115.83639,15.6,0.93362202,NA,16.70911746,NA,NA,-32.04667115.83639
6352,Funk_2016,Poaceae,Briza,herbaceous,short,0,AM,Briza maxima,-32.04667,115.83639,12.6,0.93537521,NA,13.47053018,NA,NA,-32.04667115.83639
6353,Funk_2016,Poaceae,Briza,herbaceous,short,0,AM,Briza maxima,-32.04667,115.83639,16.1,0.69376835,NA,23.20659338,NA,NA,-32.04667115.83639
6354,Funk_2016,Poaceae,Briza,herbaceous,short,0,AM,Briza maxima,-32.04667,115.83639,21.7,0.73685424,NA,29.44951501,NA,NA,-32.04667115.83639
6355,Funk_2016,Poaceae,Briza,herbaceous,short,0,AM,Briza maxima,-32.04667,115.83639,26.8,1.42815465,NA,18.76547473,NA,NA,-32.04667115.83639
1911,Schmidt_2003,Fabaceae,Alysicarpus,herbaceous,short,1,AM,Alysicarpus schomburgkii,-12.65,132.9166667,26,NA,NA,NA,NA,NA,-12.65132.9166667
460,Schmidt_2003,Asteraceae,Bidens,herbaceous,short,0,AM,Bidens bipinnata,-12.65,132.9166667,39.5,NA,NA,NA,NA,NA,-12.65132.9166667
563,Schmidt_2003,Boraginaceae,Coldenia,herbaceous,short,0,NM-AM,Coldenia procumbens,-12.65,132.9166667,48.6,NA,NA,NA,NA,NA,-12.65132.9166667
804,Dong_2017,Cucurbitaceae,Cucumis,herbaceous,short,0,AM,Cucumis melo,-17.355,137.158,13.5287237,NA,299.2551098,NA,22.1199809,NA,-17.355137.158
805,Schmidt_2003,Cucurbitaceae,Luffa,herbaceous,short,0,AM,Luffa aegyptiaca,-12.65,132.9166667,36,NA,NA,NA,NA,NA,-12.65132.9166667
703,Dong_2017,Chenopodiaceae,Salsola,herbaceous,short,0,NM-AM,Salsola australis,-25.755,136.545,15.16623165,NA,453.2479609,NA,29.88533812,NA,-25.755136.545
